nombre,categoria,cocina,comuna,barrio,lat,long,geometry
GUANTANAMERA,RESTAURANTE,CUBANA,Comuna 1,Puerto Madero,-34.6229634698018,-58.3633067544777,POINT (-58.3633067544777 -34.6229634698018)
2080 EXPRESS,RESTAURANTE,TRADICIONAL,Comuna 13,Belgrano,-34.5603113496909,-58.4535422659946,POINT (-58.4535422659946 -34.5603113496909)
22,CAFE,MINUTAS,Comuna 8,Villa Lugano,-34.6770507014194,-58.4754910533597,POINT (-58.4754910533597 -34.6770507014194)
4 X 4 CAFE,BAR,MINUTAS,Comuna 14,Palermo,-34.571843204592,-58.4222623518952,POINT (-58.4222623518952 -34.571843204592)
5TA AVENIDA,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6047966507886,-58.3783093871916,POINT (-58.3783093871916 -34.6047966507886)
5TA AVENIDA I,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6042923974068,-58.3719621592528,POINT (-58.3719621592528 -34.6042923974068)
650,RESTAURANTE,FUSION,Comuna 1,San Nicolas,-34.6003776803366,-58.3740768503219,POINT (-58.3740768503219 -34.6003776803366)
788 FOODBAR,RESTAURANTE,MEDITERRANEA,Comuna 2,Recoleta,-34.5947034778536,-58.3942957863223,POINT (-58.3942957863223 -34.5947034778536)
7 SEVEN,RESTAURANTE,PORTEA'A,Comuna 14,Palermo,-34.583305135953,-58.4394317610567,POINT (-58.4394317610567 -34.583305135953)
8 MILIMETROS,RESTAURANTE,DE AUTOR,Comuna 14,Palermo,-34.5853461253674,-58.4365349998161,POINT (-58.4365349998161 -34.5853461253674)
9 DE JULIO II,CAFE,PIZZERIA,Comuna 8,Villa Lugano,-34.6754401124166,-58.4731520536203,POINT (-58.4731520536203 -34.6754401124166)
ABC,RESTAURANTE,ALEMANA,Comuna 1,San Nicolas,-34.6021407820163,-58.374451461303,POINT (-58.374451461303 -34.6021407820163)
ABRIL,RESTAURANTE,INTERNACIONAL,Comuna 1,Retiro,-34.5941479793359,-58.3798147758162,POINT (-58.3798147758162 -34.5941479793359)
ABRIL BRISTO,RESTAURANTE,TRADICIONAL,Comuna 1,San Telmo,-34.616142070317,-58.3702129129064,POINT (-58.3702129129064 -34.616142070317)
ABUELO MATIAS,RESTAURANTE,MINUTAS,Comuna 7,Flores,-34.6427581429956,-58.460853963279,POINT (-58.460853963279 -34.6427581429956)
ACABAR,BAR,MINUTAS,Comuna 14,Palermo,-34.5830190073982,-58.4376699715801,POINT (-58.4376699715801 -34.5830190073982)
ACAPULCO,RESTAURANTE,PORTEA'A,Comuna 1,San Nicolas,-34.6023464578949,-58.3775013908193,POINT (-58.3775013908193 -34.6023464578949)
ACCADEMIA della pizza,RESTAURANTE,TRADICIONAL,Comuna 12,Villa Urquiza,-34.5755862536522,-58.4839804323544,POINT (-58.4839804323544 -34.5755862536522)
A CORUAfaEUR~A,VINERIA,TRADICIONAL,Comuna 3,Balvanera,-34.611426664275,-58.4045119695884,POINT (-58.4045119695884 -34.611426664275)
ACROPOLIS,CAFE,SANDWICHERIA,Comuna 2,Recoleta,-34.5977724811516,-58.4156704795484,POINT (-58.4156704795484 -34.5977724811516)
ACUARIO,RESTAURANTE,PARRILLA,Comuna 7,Flores,-34.6397026297938,-58.4582662452415,POINT (-58.4582662452415 -34.6397026297938)
ADANN,RESTAURANTE,INTERNACIONAL,Comuna 13,Belgrano,-34.5652746392368,-58.4526173083536,POINT (-58.4526173083536 -34.5652746392368)
AFICHE,CAFE,INTERNACIONAL,Comuna 2,Recoleta,-34.5971462910532,-58.3978524485828,POINT (-58.3978524485828 -34.5971462910532)
A FUEGO LENTO,RESTAURANTE,TRADICIONAL,Comuna 10,Versalles,-34.6261576559457,-58.5204762988863,POINT (-58.5204762988863 -34.6261576559457)
AGARRATE CATALINA,RESTAURANTE,PARRILLA,Comuna 4,Boca,-34.6287975060264,-58.3593958700541,POINT (-58.3593958700541 -34.6287975060264)
AGRAZ,RESTAURANTE,INTERNACIONAL,Comuna 1,Retiro,-34.5893647755948,-58.3840685694159,POINT (-58.3840685694159 -34.5893647755948)
AIRES DE PATAGONIA,RESTAURANTE,PATAGONICA,Comuna 1,Puerto Madero,-34.6201025482923,-58.3654687594726,POINT (-58.3654687594726 -34.6201025482923)
A. J. JARDIN CERVERCERO,RESTAURANTE,TRADICIONAL,Comuna 1,San Telmo,-34.615986926579,-58.3709123711811,POINT (-58.3709123711811 -34.615986926579)
ALABAMA,RESTAURANTE,MINUTAS,Comuna 3,Balvanera,-34.6105257336666,-58.4105058134453,POINT (-58.4105058134453 -34.6105257336666)
ALAI,CAFE,MINUTAS,Comuna 1,Monserrat,-34.6114376400842,-58.3905313648543,POINT (-58.3905313648543 -34.6114376400842)
A LA MAROSKA,RESTAURANTE,INTERNACIONAL,Comuna 2,Recoleta,-34.5968759476304,-58.3995221724229,POINT (-58.3995221724229 -34.5968759476304)
ALAMEDA,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6091223514257,-58.3835654247122,POINT (-58.3835654247122 -34.6091223514257)
ALAMEDA,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.5871958739754,-58.3976585394593,POINT (-58.3976585394593 -34.5871958739754)
AL ANDALUZ,BAR,MEDITERRANEA,Comuna 14,Palermo,-34.5866983934752,-58.4325800011467,POINT (-58.4325800011467 -34.5866983934752)
ALARICO,RESTAURANTE,ESPAA'OLA,Comuna 1,San Telmo,-34.6160696271792,-58.3734005626542,POINT (-58.3734005626542 -34.6160696271792)
